category;code;description;country_code;source
ape;32.12Z;Fabrication d’articles de joaillerie et bijouterie;FR;insee
ape;32.13Z;Fabrication d’articles de bijouterie fantaisie et articles similaires;FR;insee
ape;32.20Z;Fabrication d'instruments de musique;FR;insee
ape;32.30Z;Fabrication d'articles de sport;FR;insee
ape;32.40Z;Fabrication de jeux et jouets;FR;insee
ape;32.50A;Fabrication de matériel médico-chirurgical et dentaire;FR;insee
ape;32.50B;Fabrication de lunettes;FR;insee
ape;32.91Z;Fabrication d’articles de brosserie;FR;insee
ape;32.99Z;Autres activités manufacturières n.c.a.;FR;insee
ape;33.11Z;Réparation d'ouvrages en métaux;FR;insee
ape;33.12Z;Réparation de machines et équipements mécaniques;FR;insee
ape;33.13Z;Réparation de matériels électroniques et optiques;FR;insee
ape;33.14Z;Réparation d'équipements électriques;FR;insee
ape;33.15Z;Réparation et maintenance navale;FR;insee
ape;33.16Z;Réparation et maintenance d'aéronefs et d'engins spatiaux;FR;insee
ape;33.17Z;Réparation et maintenance d'autres équipements de transport;FR;insee
ape;33.19Z;Réparation d'autres équipements;FR;insee
ape;33.20A;Installation de structures métalliques, chaudronnées et de tuyauterie;FR;insee
ape;33.20B;Installation de machines et équipements mécaniques;FR;insee
ape;33.20C;Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels;FR;insee
ape;33.20D;Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels;FR;insee
ape;35.11Z;Production d'électricité;FR;insee
ape;35.12Z;Transport d'électricité;FR;insee
ape;35.13Z;Distribution d'électricité;FR;insee
ape;35.14Z;Commerce d'électricité;FR;insee
ape;35.21Z;Production de combustibles gazeux;FR;insee
ape;35.22Z;Distribution de combustibles gazeux par conduites;FR;insee
ape;35.23Z;Commerce de combustibles gazeux par conduites;FR;insee
ape;35.30Z;Production et distribution de vapeur et d'air conditionné;FR;insee
ape;36.00Z;Captage, traitement et distribution d'eau;FR;insee
ape;37.00Z;Collecte et traitement des eaux usées;FR;insee
ape;38.11Z;Collecte des déchets non dangereux;FR;insee
ape;38.12Z;Collecte des déchets dangereux;FR;insee
ape;38.21Z;Traitement et élimination des déchets non dangereux;FR;insee
ape;38.22Z;Traitement et élimination des déchets dangereux;FR;insee
ape;38.31Z;Démantèlement d'épaves;FR;insee
ape;38.32Z;Récupération de déchets triés;FR;insee
ape;39.00Z;Dépollution et autres services de gestion des déchets;FR;insee
ape;41.10A;Promotion immobilière de logements;FR;insee
ape;41.10B;Promotion immobilière de bureaux;FR;insee
ape;41.10C;Promotion immobilière d'autres bâtiments;FR;insee
ape;41.10D;Supports juridiques de programmes;FR;insee
ape;41.20A;Construction de maisons individuelles;FR;insee
ape;41.20B;Construction d'autres bâtiments;FR;insee
ape;42.11Z;Construction de routes et autoroutes;FR;insee
ape;42.12Z;Construction de voies ferrées de surface et souterraines;FR;insee
ape;42.13A;Construction d'ouvrages d'art;FR;insee
ape;42.13B;Construction et entretien de tunnels;FR;insee
ape;42.21Z;Construction de réseaux pour fluides;FR;insee
ape;42.22Z;Construction de réseaux électriques et de télécommunications;FR;insee
ape;42.91Z;Construction d'ouvrages maritimes et fluviaux;FR;insee
ape;42.99Z;Construction d'autres ouvrages de génie civil n.c.a.;FR;insee
ape;43.11Z;Travaux de démolition;FR;insee
ape;43.12A;Travaux de terrassement courants et travaux préparatoires;FR;insee
ape;43.12B;Travaux de terrassement spécialisés ou de grande masse;FR;insee
ape;43.13Z;Forages et sondages;FR;insee
ape;43.21A;Travaux d'installation électrique dans tous locaux;FR;insee
ape;43.21B;Travaux d'installation électrique sur la voie publique;FR;insee
ape;43.22A;Travaux d'installation d'eau et de gaz en tous locaux;FR;insee
ape;43.22B;Travaux d'installation d'équipements thermiques et de climatisation;FR;insee
ape;43.29A;Travaux d'isolation;FR;insee
ape;43.29B;Autres travaux d'installation n.c.a.;FR;insee
ape;43.31Z;Travaux de plâtrerie;FR;insee
ape;43.32A;Travaux de menuiserie bois et PVC;FR;insee
ape;43.32B;Travaux de menuiserie métallique et serrurerie;FR;insee
ape;43.32C;Agencement de lieux de vente;FR;insee
ape;43.33Z;Travaux de revêtement des sols et des murs;FR;insee
ape;43.34Z;Travaux de peinture et vitrerie;FR;insee
ape;43.39Z;Autres travaux de finition;FR;insee
ape;43.91A;Travaux de charpente;FR;insee
ape;43.91B;Travaux de couverture par éléments;FR;insee
ape;43.99A;Travaux d'étanchéification;FR;insee
ape;43.99B;Travaux de montage de structures métalliques;FR;insee
ape;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment;FR;insee
ape;43.99D;Autres travaux spécialisés de construction;FR;insee
ape;43.99E;Location avec opérateur de matériel de construction;FR;insee
ape;45.11Z;Commerce de voitures et de véhicules automobiles légers;FR;insee
ape;45.19Z;Commerce d'autres véhicules automobiles;FR;insee
ape;45.20A;Entretien et réparation de véhicules automobiles légers;FR;insee
ape;45.20B;Entretien et réparation d'autres véhicules automobiles;FR;insee
ape;45.31Z;Commerce de gros d'équipements automobiles;FR;insee
ape;45.32Z;Commerce de détail d'équipements automobiles;FR;insee
ape;45.40Z;Commerce et réparation de motocycles;FR;insee
ape;46.11Z;Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis;FR;insee
ape;46.12A;Centrales d'achat de carburant;FR;insee
ape;46.12B;Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques;FR;insee
ape;46.13Z;Intermédiaires du commerce en bois et matériaux de construction;FR;insee
ape;46.14Z;Intermédiaires du commerce en machines, équipements industriels, navires et avions;FR;insee
